ClientNr,Vestiging,Leeftijd,Geslacht,Lengte,Gewicht
-8572073457801960000,Maastricht,62,Vrouw,NULL,NULL
7397221576195940000,Maastricht,51,Vrouw,NULL,NULL
-523790022760765000,Eindhoven,25,Vrouw,NULL,NULL
9038948271011700000,Sittard-Geleen,37,Man,NULL,NULL
-6167303856768440000,Maastricht,61,Vrouw,NULL,NULL
-2997417521235160000,Eindhoven,63,Vrouw,NULL,NULL
-7457040607959360000,Maastricht,52,Vrouw,NULL,NULL
-6370952924314480000,Sittard-Geleen,58,Vrouw,NULL,NULL
1239508621391040000,Sittard-Geleen,57,Vrouw,NULL,NULL
7909617809358570000,Eindhoven,38,Vrouw,NULL,NULL
-8454291396817030000,Roermond,50,Vrouw,NULL,NULL
3001840333177680000,Maastricht,59,Man,NULL,NULL
-2453580243304810000,Eindhoven,42,Man,NULL,NULL
-1228042383590960000,Sittard-Geleen,35,Man,NULL,NULL
-7143071677720750000,Maastricht,33,Vrouw,NULL,NULL
-4927291373622110000,Eindhoven,59,Vrouw,NULL,NULL
6081653141755090000,Heerlen,28,Vrouw,NULL,NULL
-7343361379502940000,Eindhoven,41,Vrouw,NULL,NULL
813695973662849000,Sittard-Geleen,37,Vrouw,NULL,NULL
7751038496815230000,Maastricht,55,Vrouw,NULL,NULL
5680899161570870000,Maastricht,42,Vrouw,NULL,NULL
7182151561357500000,Eindhoven,38,Vrouw,NULL,NULL
4381560737627670000,Roermond,37,Man,NULL,NULL
159060740432002000,Maastricht,49,Vrouw,NULL,NULL
-5882457903287830000,Maastricht,47,Vrouw,NULL,NULL
199996317332554000,Sittard-Geleen,55,Man,NULL,NULL
7850451436502520000,Roermond,51,Man,NULL,NULL
319260813659411000,Sittard-Geleen,57,Vrouw,NULL,NULL
-7517789463243920000,Maastricht,37,Vrouw,NULL,NULL
-6281688721763250000,Sittard-Geleen,63,Man,NULL,NULL
1847312195569820000,Roermond,49,Vrouw,NULL,NULL
-1528749119389830000,Roermond,51,Man,NULL,NULL
478978947757574000,Eindhoven,35,Vrouw,NULL,NULL
4509613736564040000,Roermond,37,Man,NULL,NULL
3930213105089740000,Maastricht,51,Vrouw,NULL,NULL
-3108933436970850000,Maastricht,29,Vrouw,NULL,NULL
8315728743530880000,Eindhoven,62,Vrouw,NULL,NULL
6431840126236410000,Roermond,28,Vrouw,NULL,NULL
3564264108930880000,Roermond,32,Vrouw,NULL,NULL
3851883149522860000,Sittard-Geleen,32,Vrouw,NULL,NULL
-2704544256314970000,Roermond,33,Vrouw,NULL,NULL
-6123364553312260000,Heerlen,54,Vrouw,NULL,NULL
-3843111140881310000,Sittard-Geleen,45,Man,NULL,NULL
4715007216892440000,Heerlen,22,Vrouw,NULL,NULL
-8696224871858310000,Maastricht,38,Vrouw,NULL,NULL
7283251915608480000,Sittard-Geleen,64,Vrouw,NULL,NULL
-2236439996338320000,Maastricht,26,Vrouw,NULL,NULL
